genre,movie,time,score,people
豆瓣电影标签：爱情,"
                        喜欢你
                        / 喜欢·你 / 男人使用手册
",2017,7.0,114630
豆瓣电影标签：爱情,"
                        春娇救志明
                        / 志明与春娇3 / Love off the cuff
",2017,7.3,86679
豆瓣电影标签：爱情,"
                        明日的我与昨日的你约会
                        / 明天，我要和昨天的你约会(台) / 明天，我和昨天的你约会
",2016,7.5,11912
豆瓣电影标签：爱情,"
                        泰坦尼克号
                        / 铁达尼号(港/台)
",1998,9.2,636543
豆瓣电影标签：爱情,"
                        原谅他77次
                        / 77 Heartbreaks
",2017,7.0,7999
豆瓣电影标签：爱情,"
                        这个杀手不太冷
                        / 杀手莱昂 / 终极追杀令(台)
",1994,9.4,809371
豆瓣电影标签：爱情,"
                        怦然心动
                        / 萌动青春 / 青春萌动
",2010,8.9,528331
豆瓣电影标签：爱情,"
                        夏至未至
                        / Rush to the Dead Summer / Love Till the End of Summer
",2017,4.4,22022
豆瓣电影标签：爱情,"
                        楚乔传
                        / 特工皇妃楚乔传 / 11处特工皇妃
",2017,5.6,38724
豆瓣电影标签：爱情,"
                        爱乐之城
                        / 星声梦里人(港) / 乐来越爱你(台)
",2017,8.3,299679
豆瓣电影标签：爱情,"
                        与君相恋100次
                        / 和你的第100次恋爱 / 与你的100次恋爱
",2017,6.4,9667
豆瓣电影标签：爱情,"
                        你的名字。
                        / 你的名字 / 君之名
",2016,8.5,365055
豆瓣电影标签：爱情,"
                        欢乐颂2
                        / 欢乐颂第二季 / 欢乐颂第二部
",2017,5.3,50690
豆瓣电影标签：爱情,"
                        美女与野兽
                    ",2017,7.2,140236
豆瓣电影标签：爱情,"
                        大话西游之大圣娶亲
                        / 西游记完结篇仙履奇缘 / 齐天大圣西游记
",2017,9.2,474911
豆瓣电影标签：爱情,"
                        霸王别姬
                        / 再见，我的妾 / Farewell My Concubine
",1993,9.5,604555
豆瓣电影标签：爱情,"
                        傲娇与偏见
                        / Mr. Pride vs Miss Prejudice
",2017,5.1,17107
豆瓣电影标签：爱情,"
                        三流之路
                        / 我的打架之路 / 三流人生
",2017,8.6,9669
豆瓣电影标签：爱情,"
                        美丽人生
                        / 一个快乐的传说(港) / Life Is Beautiful
",1997,9.5,403182
豆瓣电影标签：爱情,"
                        情书
                        / When I Close My Eyes / Letters of Love
",1995,8.8,362223
豆瓣电影标签：爱情,"
                        我的前半生
                        / The First Half of My Life
",2017,7.2,19763
豆瓣电影标签：爱情,"
                        花间提壶方大厨
                    ",2017,8.1,18331
豆瓣电影标签：爱情,"
                        剪刀手爱德华
                        / 幻海奇缘(港) / 剪刀手爱德华
",1990,8.7,468807
豆瓣电影标签：爱情,"
                        反转人生
                        / Wished
",2017,5.5,13944
豆瓣电影标签：爱情,"
                        罗马假日
                        / 金枝玉叶(港) / 罗马假期(台)
",1953,8.9,377238
豆瓣电影标签：爱情,"
                        恋恋笔记本
                        / 深情日记 / 写我情真
",2004,8.5,264911
豆瓣电影标签：爱情,"
                        龙珠传奇之无间道
                        / 龙珠传奇
",2017,5.0,7655
豆瓣电影标签：爱情,"
                        上古情歌
                        / 曾许诺 / 一世情长
",2017,3.9,6487
豆瓣电影标签：爱情,"
                        爱在黎明破晓前
                        / 情留半天(港) / 爱在黎明破晓时(台)
",1995,8.7,208603
豆瓣电影标签：爱情,"
                        时空恋旅人
                        / 时空旅恋人 / 回到最爱的一天(港)
",2013,8.6,181196
豆瓣电影标签：爱情,"
                        机器人总动员
                        / 瓦力(台) / 太空奇兵·威E(港)
",2008,9.3,488457
豆瓣电影标签：爱情,"
                        傲慢与偏见
                        / 傲慢与偏见2005 / Pride And Prejudice
",2005,8.4,283560
豆瓣电影标签：爱情,"
                        大话西游之月光宝盒
                        / 西游记101回月光宝盒 / 齐天大圣东游记
",2014,8.9,384869
豆瓣电影标签：爱情,"
                        重庆森林
                        / Chungking Express
",1994,8.6,312572
豆瓣电影标签：爱情,"
                        李雷和韩梅梅
                        / 李雷和韩梅梅之昨日重现 / How Are You
",2017,3.0,10920
豆瓣电影标签：爱情,"
                        天使爱美丽
                        / 艾蜜莉的异想世界(台) / 天使艾米莉
",2001,8.7,469036
豆瓣电影标签：爱情,"
                        乱世佳人
                        / 飘
",1940,9.2,265480
豆瓣电影标签：爱情,"
                        假如爱有天意
                        / 不可不信缘 / 缘起不灭
",2003,8.2,217805
豆瓣电影标签：爱情,"
                        初恋这件小事
                        / 初恋那件小事(港) / 暗恋那点小事
",2012,8.2,426609
豆瓣电影标签：爱情,"
                        七月与安生
                        / SoulMate
",2016,7.6,238732
豆瓣电影标签：爱情,"
                        志明与春娇
                        / 谈恋爱 / Love in a Puff
",2010,8.0,314884
豆瓣电影标签：爱情,"
                        太空旅客
                        / 太空潜航者(港) / 星际过客(台)
",2017,6.9,102944
豆瓣电影标签：爱情,"
                        甜蜜蜜
                        / Comrades: Almost a Love Story
",2015,8.7,223476
豆瓣电影标签：爱情,"
                        请回答1988
                        / 回应吧1988 / Reply 1988
",2015,9.6,135732
豆瓣电影标签：爱情,"
                        西西里的美丽传说
                        / 真爱伴我行(台) / 玛莲娜
",2000,8.7,330451
豆瓣电影标签：爱情,"
                        花样年华
                        / In the Mood for Love
",2000,8.5,229758
豆瓣电影标签：爱情,"
                        我命中注定的人
                        / 真命天菜(台) / 命中注定你爱我(台)
",2017,7.5,10152
豆瓣电影标签：爱情,"
                        爱在日落黄昏时
                        / 日落巴黎(港) / 爱在日落巴黎时(台)
",2004,8.7,189329
豆瓣电影标签：爱情,"
                        哈尔的移动城堡
                        / 呼啸山城 / 霍尔的移动城堡
",2004,8.8,336520
豆瓣电影标签：爱情,"
                        月色真美
                    ",2017,9.1,4796
豆瓣电影标签：爱情,"
                        喜剧之王
                        / King of Comedy
",1999,8.5,287099
豆瓣电影标签：爱情,"
                        断背山
                        / 断臂山
",2006,8.6,303772
豆瓣电影标签：爱情,"
                        色，戒
                        / 色|戒 / 色·戒
",2007,8.1,229805
豆瓣电影标签：爱情,"
                        秒速5厘米
                        / 秒速五厘米 / 秒速5公分
",2007,8.3,274042
豆瓣电影标签：爱情,"
                        春光乍泄
                        / 一起快乐 / Happy Together
",1997,8.8,232808
豆瓣电影标签：爱情,"
                        春娇与志明
                        / 志明与春娇2 / Love in The Buff
",2012,7.3,257519
豆瓣电影标签：爱情,"
                        两小无猜
                        / 敢爱就来 / 宝贝游戏
",2003,8.1,303537
豆瓣电影标签：爱情,"
                        遇见你之前
                        / 我就要你好好的(台) / 温暖的遇见你
",2016,7.5,86364
豆瓣电影标签：爱情,"
                        本杰明·巴顿奇事
                        / 奇幻逆缘(港) / 返老还童
",2008,8.7,379581
豆瓣电影标签：爱情,"
                        嫌疑人X的献身
                        / The Devotion of Suspect X / Suspect X
",2017,6.5,115388
豆瓣电影标签：爱情,"
                        真爱至上
                        / 爱是您，爱是我(台) / 真的恋爱了(港)
",2003,8.5,295474
豆瓣电影标签：爱情,"
                        阿甘正传
                        / 福雷斯特·冈普
",1994,9.4,692141
豆瓣电影标签：爱情,"
                        我的少女时代
                        / Our Times
",2015,7.8,267774
豆瓣电影标签：爱情,"
                        一天
                        / 真爱挑日子(台) / 情约1天(港)
",2011,7.8,271660
豆瓣电影标签：爱情,"
                        绝世高手
                        / 绝世高手之料理铁人 / The One
",2017,6.6,24602
豆瓣电影标签：爱情,"
                        飞屋环游记
                        / 冲天救兵(港) / 天外奇迹(台)
",2009,8.9,486428
豆瓣电影标签：爱情,"
                        消失的爱人
                        / 失踪的女孩 / 失踪女孩
",2014,8.7,330228
豆瓣电影标签：爱情,"
                        和莎莫的500天
                        / 心跳(500)天(港) / 恋夏(500日)(台)
",2009,8.0,298307
豆瓣电影标签：爱情,"
                        倩女幽魂
                        / 倩女幽魂(87版) / A Chinese Ghost Story
",2011,8.6,232949
豆瓣电影标签：爱情,"
                        三生三世十里桃花
                        / 三生三世十里桃花电视剧版 / To the Sky Kingdom
",2017,6.4,83025
豆瓣电影标签：爱情,"
                        从你的全世界路过
                        / I Belonged to You
",2016,5.3,151158
豆瓣电影标签：爱情,"
                        爱你，罗茜
                        / 亲爱的，原来是你(港) / 真爱绕圈圈(台)
",2014,7.3,40757
豆瓣电影标签：爱情,"
                        救僵清道夫
                        / 尸奔日记 / Vampire Cleanup Department
",2017,5.3,3809
豆瓣电影标签：爱情,"
                        那些年，我们一起追的女孩
                        / You Are the Apple of My Eye
",2012,8.1,481569
豆瓣电影标签：爱情,"
                        他其实没那么喜欢你
                        / 其实你不懂他的心 / 收错爱情风
",2009,7.7,264313
豆瓣电影标签：爱情,"
                        完美陌生人
                        / 完美谎情(港) / 波动的信息分享
",2016,8.6,131916
豆瓣电影标签：爱情,"
                        微微一笑很倾城
                        / 微微一笑很倾城电视剧版 / Love O2O
",2016,6.3,69107
豆瓣电影标签：爱情,"
                        三傻大闹宝莱坞
                        / 三个傻瓜(台) / 作死不离3兄弟(港)
",2011,9.1,656331
豆瓣电影标签：爱情,"
                        爱在午夜降临前
                        / 爱在午夜希腊时(台) / 情约半生(港)
",2013,8.7,104972
豆瓣电影标签：爱情,"
                        她
                        / 云端情人(台) / 触不到的她(港)
",2014,8.3,211848
